Package	Version	Architecture	Status
aardvark-dns	1.4.0-3	amd64	install ok installed
acl	2.3.1-3	amd64	install ok installed
adduser	3.134	all	install ok installed
adwaita-icon-theme	43-1	all	install ok installed
alsa-topology-conf	1.2.5.1-2	all	install ok installed
alsa-ucm-conf	1.2.8-1	all	install ok installed
amd64-microcode	3.20250311.1~deb12u1	amd64	install ok installed
apparmor	3.0.8-3	amd64	install ok installed
apt	2.6.1	amd64	install ok installed
apt-listchanges	3.24	all	install ok installed
apt-utils	2.6.1	amd64	install ok installed
arch-test	0.20-1	all	install ok installed
at-spi2-common	2.46.0-5	all	install ok installed
at-spi2-core	2.46.0-5	amd64	install ok installed
atmel-firmware	1.3-7	all	install ok installed
avahi-daemon	0.8-10+deb12u1	amd64	install ok installed
base-files	12.4+deb12u14	amd64	install ok installed
base-passwd	3.6.1	amd64	install ok installed
bash	5.2.15-2+b13	amd64	install ok installed
bluez-firmware	1.2-9	all	install ok installed
bsdextrautils	2.38.1-5+deb12u3	amd64	install ok installed
bsdutils	1:2.38.1-5+deb12u3	amd64	install ok installed
buildah	1.28.2+ds1-3+deb12u1+b3	amd64	install ok installed
busybox	1:1.35.0-4+deb12u1+b1	amd64	install ok installed
ca-certificates	20230311+deb12u1	all	install ok installed
catatonit	0.1.7-1+b2	amd64	install ok installed
chrony	4.3-2+deb12u2	amd64	install ok installed
colord	1.4.6-2.2	amd64	install ok installed
colord-data	1.4.6-2.2	all	install ok installed
conmon	2.1.6+ds1-1	amd64	install ok installed
containernetworking-plugins	1.1.1+ds1-3+b5	amd64	install ok installed
coreutils	9.1-1	amd64	install ok installed
cpio	2.13+dfsg-7.1	amd64	install ok installed
cpp	4:12.2.0-3	amd64	install ok installed
cpp-12	12.2.0-14+deb12u1	amd64	install ok installed
cron	3.0pl1-162	amd64	install ok installed
cron-daemon-common	3.0pl1-162	all	install ok installed
crun	1.8.1-1+deb12u1	amd64	install ok installed
curl	7.88.1-10+deb12u14	amd64	install ok installed
dahdi-firmware-nonfree	2.11.1.0.20170917-2	all	install ok installed
dash	0.5.12-2	amd64	install ok installed
dbus	1.14.10-1~deb12u1	amd64	install ok installed
dbus-bin	1.14.10-1~deb12u1	amd64	install ok installed
dbus-daemon	1.14.10-1~deb12u1	amd64	install ok installed
dbus-session-bus-common	1.14.10-1~deb12u1	all	install ok installed
dbus-system-bus-common	1.14.10-1~deb12u1	all	install ok installed
dbus-user-session	1.14.10-1~deb12u1	amd64	install ok installed
dbus-x11	1.14.10-1~deb12u1	amd64	install ok installed
dconf-gsettings-backend	0.40.0-4	amd64	install ok installed
dconf-service	0.40.0-4	amd64	install ok installed
debconf	1.5.82	all	install ok installed
debconf-i18n	1.5.82	all	install ok installed
debian-archive-keyring	2023.3+deb12u2	all	install ok installed
debianutils	5.7-0.5~deb12u1	amd64	install ok installed
debootstrap	1.0.128+nmu2+deb12u2	all	install ok installed
desktop-base	12.0.6+nmu1~deb12u1	all	install ok installed
desktop-file-utils	0.26-1	amd64	install ok installed
diffutils	1:3.8-4	amd64	install ok installed
dirmngr	2.2.40-1.1+deb12u2	amd64	install ok installed
distro-info-data	0.58+deb12u7	all	install ok installed
dmidecode	3.4-1	amd64	install ok installed
dmsetup	2:1.02.185-2	amd64	install ok installed
dns-root-data	2024071801~deb12u1	all	install ok installed
dnsmasq-base	2.90-4~deb12u2	amd64	install ok installed
dosfstools	4.2-1	amd64	install ok installed
dpkg	1.21.23	amd64	install ok installed
e2fsprogs	1.47.0-2+b2	amd64	install ok installed
efibootmgr	17-2	amd64	install ok installed
eject	2.38.1-5+deb12u3	amd64	install ok installed
exfatprogs	1.2.0-1+deb12u1	amd64	install ok installed
exo-utils	4.18.0-1	amd64	install ok installed
fail2ban	1.0.2-2	all	install ok installed
fdisk	2.38.1-5+deb12u3	amd64	install ok installed
findutils	4.9.0-4	amd64	install ok installed
firmware-amd-graphics	20230210-5	all	install ok installed
firmware-ast	20140808-7	all	install ok installed
